Track name,Artist name,Album,ISRC,Duration,Year,Month,Day
Efecto,Bad Bunny,Un Verano Sin Ti,QM6MZ2214884,275,1992,5,27
XT4S1S,Danna Paola,XT4S1S,MXUM72201003,257,2011,5,28
LOKERA,Rauw Alejandro,LOKERA,USSD12200700,196,1992,6,20
Andrea,Bad Bunny,Un Verano Sin Ti,QM6MZ2214893,164,1990,3,9
Alaska,Camilo,Alaska,USSD12200522,103,2011,8,18
MAMIII,Becky G,ESQUEMAS,USRC12200425,172,2003,10,23
Efecto,Bad Bunny,Un Verano Sin Ti,QM6MZ2214884,102,2000,8,24
Boiler,Limp Bizkit,Chocolate Starfish And The Hot Dog Flavored Water,USUM71509903,202,2018,9,28
My Way,Limp Bizkit,Chocolate Starfish And The Hot Dog Flavored Water,USIR10001177,195,2018,5,8
Ferrari,James Hype,Ferrari,GB3CE2200004,174,2007,9,3
Tell Me,James Carter,Tell Me,DES232200050,161,2018,5,4
About U,Reel Mood,About U,DES232200300,108,2014,5,21
Waiting,Blaise,Waiting,DES232200310,166,2018,2,20
Tell Me,Falden,Tell Me,DES232200200,292,2004,10,4
Silence,Dark Heart,Silence,DES232200170,129,2013,7,28
Massive,Drake,"Honestly, Nevermind",USUG12204890,231,2011,4,9
Howling,SOMMA,Howling,DES232000520,288,2017,2,10
HISTORY,Joel Corry,HISTORY,GBAHS2200992,169,2003,5,25
No More,Alexxi,No More,DES232100290,171,2005,8,31
Calidad,Grupo Firme,Calidad,QZDQH2257609,161,1997,7,8
Colapso,Kevin Kaarl,Hasta el Fin Del Mundo,QZDA71980570,173,2004,10,2
Procura,ChiChi Peralta,Pa' Otro La 'o,USJE61002249,299,2015,12,31
Tiburon,Proyecto Uno,1,US3Z41500515,166,2007,1,15
17 Años,Los Ángeles Azules,Singles,MXUM70801373,149,2022,9,4
Mi Cucu,La Sonora Dinamita,Exitos Tropicosos,COF019500614,189,2008,2,16
El Nido,La Sonora Santanera,"Serie de Colección 15 Auténticos Éxitos Sonora Santanera, Vol. 2",MXF145000017,207,2011,4,21
El Amor,"Tito ""El Bambino""",El Patrón,TCADT1884292,147,1991,9,14
Ay Amor,Los Ángeles Azules,Como Te Voy A Olvidar (Baile Total),MXUM70801587,285,1994,12,8
Macondo,Cuarteto Continental de Alberto Maraví,Macondo,PEIFP1900051,135,2008,4,20
Manyoma,Fruko Y Sus Tesos,Fruko el Grande,COF019503591,156,2018,5,11
Bunnies,Dontcry,Odyssey,TCAEW2008035,189,2003,8,25
Passage,mell-ø,Time To Go,GBKQU2187937,282,2010,1,30
Mirrors,No Spirit,Between Worlds,GBKQU2278939,158,1998,7,22
Kindsun,Loafy Building,Maru,GBKQU2275080,259,2002,1,24
Memento,Hoogway,Equation Of Time,GBKQU2278074,266,2020,11,27
Giapooh,So.Lo,QuietPath,GBKQU2262870,282,2001,7,17
Dusking,Sleepermane,Dreamtime,GBKQU2271656,266,1998,7,7
Cascade,Kinissue,Sea Beams,GBKQU2172113,283,1992,3,5
Perfume,Lilac,When I Dreamt of You,GBKQU2161341,105,1993,11,24
Opening,Hoogway,Equation Of Time,GBKQU2278079,155,1997,2,27
Soaring,Elior,Cozy Winter,GBKQU2101973,258,1996,7,7
Vibrant,Tibeauthetraveler,Barbados,GBKQU2265950,144,1995,1,19
Edamame,Dontcry,Jiro Dreams,TCAEQ2084567,165,1994,10,29
Old Dee,Mondo Loops,Forest Tales,GBKQU2180434,151,2020,8,12
Comfort,Laffey,A Day At A Time,GBKQU2133455,163,2010,2,11
Aligned,Sling Dilly,Weightless,GBKQU2210268,119,2018,3,3
Cuddlin,Pandrezz,1 Am. Study Session,TCAEN1970826,258,2020,9,9
Sincere,Tom Doolie,Land of Calm,GBKQU2111668,242,2010,6,1
Bedtime,Hevi,Before It's Late,GBKQU2107946,125,1991,3,18
Rituals,Living Room,Rituals,GBKQU2135959,144,2020,3,7
Motions,Tibeauthetraveler,Motions,GBKQU2121983,294,1997,10,29
Ballads,ENRA,Blue Hour,GBKQU2196237,232,2002,11,29
Comfort,Bcalm,Feelings,GBKQU2118462,121,1996,9,28
Hiraeth,Bcalm,Feelings Pt.2,GBLV62129254,156,2014,6,13
Outcast,Kainbeats,Angelic,GBLV62039341,247,2005,9,5
Capsule,Kainbeats,Atlantis,GBKQU2209457,183,2017,6,22
Kiss Me,iamalex,Silk,GBKQU2183400,208,2013,1,30
Spheres,Casiio,Nomads,GBLV62110162,235,2001,4,5
Lasting,Sling Dilly,Sleepless Night,GBKQU2242332,101,2015,7,17
Voyager,dryhope,4 Am. Study Session,GBKQU2144255,196,2006,2,13
Arrival,brillion.,Bedtime Stories Pt. 3,GBLV62023516,115,1998,4,13
Emerald,Sátyr,Argo,GBKQU2160333,107,1997,8,11
choices,Towerz,A Bridge Between,GBKQU2111652,170,2001,12,21
Sun Dog,Ambulo,Polar,GBKQU2120427,228,2022,10,8
Lullaby,Osaki,Morning Coffee,GBKQU2237591,271,2010,2,25
Equinox,S N U G,Quietude,GBKQU2183089,205,2008,4,3
Moments,Kurt Stewart,Pegan Hill,GBKQU2145616,160,2020,1,14
One Day,Tonion,Stories of Synergy,GBKQU2255692,113,1994,3,11
Flowery,TABAL,Riverside Sunset,GBKQU2264069,239,1997,12,2
Gliding,Mondo Loops,Midnight Gazing,GBKQU2111733,258,2017,6,16
Secrets,Purrple Cat,Distant Worlds II,GBKQU2212296,260,1997,4,9
Im Fine,kyu,4 Am. Study Session,GBKQU2144247,150,1995,1,8
Saudade,Hoogway,Alley Of Trees,GBKQU2186442,226,2016,11,4
Un Coco,Bad Bunny,Un Verano Sin Ti,QM6MZ2214892,297,2008,12,1
Calidad,Grupo Firme,Calidad,QZDQH2257609,149,2022,9,25
Sunroof,Nicky Youre,Sunroof,USQX92202129,166,2006,6,11
Ferrari,James Hype,Ferrari,GB3CE2200004,105,2004,7,14
Perfect,Simple Plan,"No Pads, No Helmets...Just Balls (15th Anniversary Tour Edition)",USAT20200143,199,2003,11,18
HighLife,HotLap,HighLife,DES232200390,249,2007,11,16
Lovesick,MAGNUS,Lovesick,DES232200340,183,2010,9,20
Troubles,SOMMA,Troubles,DES232100330,226,2003,4,4
Problems,Alex Adair,Problems,GB2DY2200116,230,2009,9,2
Run Deep,Nu Aspect,Run Deep,DES232100470,119,2003,10,24
It's You,Bless You,It's You,DK4YA2286101,169,1990,8,21
DESPECHÁ,ROSALÍA,DESPECHÁ,USSM12207207,112,2012,11,2
Neverita,Bad Bunny,Un Verano Sin Ti,QM6MZ2214882,222,2003,4,5
GATÚBELA,KAROL G,GATÚBELA,USUM72216070,240,2003,12,15
No Se Va,Grupo Frontera,No Se Va,QZHN72212529,124,2008,1,20
PROVENZA,KAROL G,PROVENZA,USUM72205906,137,2011,2,12
Nataaoki,Natanael Cano,NataKong,USWL12200287,269,2011,3,8
Fiestiña,Los Master Plus,Fiestiña,ushm21448048,283,2014,1,18
Un Sueño,Los Angeles De Charly,Un Sueño,USFI20001085,283,2003,2,9
Mayonesa,Chocolate,2000 Grandes Exitos,UYM120000401,210,2014,11,13
La Barca,Grupo Maravilla,12 de Diciembre,USKH40500198,196,2006,1,11
Gritaría,Los Telez,Muévete,MX4971504302,171,2011,5,24
El Venao,Los Cantantes,El Virao,DOA111500031,231,2003,10,29
Mira oye,Los Tigrillos,Que lo baile bien,MXF160000528,112,1998,11,18
La Cruda,Mxcl,La Cruda,GBMA22081293,287,2020,9,8
El Triki,Mxcl,El Triki,QZNJV2096760,135,2009,5,28
Matarina,Los Chipis,Sonideras Peruanas: Cumbias & Guarachas Limpias,PEIF21616208,262,2021,10,25
Belmondo,So.Lo,QuietPath,GBKQU2262871,184,1994,2,24
Ashcombe,Loafy Building,Maru,GBKQU2275079,214,1991,6,21
Innocent,Oatmello,Dove,TCAEY2087625,291,1990,11,16
Dreaming,Nothingtosay,Cold Thoughts,GBKQU2271261,298,2003,6,13
snowfall,Blurred Figures,finding comfort,GBKQU2198413,230,2018,5,22
Pawmises,Krynoze,Pawmises,GBKQU2271786,161,2018,11,29
Teleport,So.Lo,QuietPath,GBKQU2262868,108,2009,5,7
Ethereal,Hevi,When I'm Gone,GBLV62101743,234,1991,11,12
vagabond,Mau,Les jours d'après,GBKQU2276650,111,1992,10,2
Opulence,Loafy Building,Maru,GBKQU2275082,244,2003,10,3
The Dawn,Nothingtosay,Cold Thoughts,GBKQU2271263,259,1995,10,18
Big Eyes,Krynoze,Pawmises,GBKQU2271780,235,1992,11,2
Eternity,Hoogway,Equation Of Time,GBKQU2278075,225,1994,5,27
Discover,Elior,Walls,GBLV62040200,111,2021,8,12
Planet 9,No Spirit,Between Worlds,GBKQU2278936,180,2009,9,19
The Isle,ticofaces,Lunar Isle,GBLV62120461,167,2012,6,19
Patience,Arbour,4 Am. Study Session,GBKQU2144263,245,1998,9,18
Snow Day,takeo,Morning Coffee,GBKQU2237578,112,2019,5,6
Reliving,cxlt.,Somewhere In Time,GBKQU2150902,124,2015,10,5
Memories,xander.,"Cabin Fever, Pt. 2",GBLV62109083,263,1997,11,23
Carry Me,No Spirit,4 Am. Study Session,GBKQU2144249,129,2012,1,5
Moonfall,Towerz,Cozy Winter,GBKQU2101992,120,2001,10,12
Floating,H.1,Indigo Night,GBLV62124627,227,2016,1,26
Sea Legs,Charlee Nguyen,Amidst the Seven Seas,GBLV62119377,278,1990,6,19
intimate,Nvmb.,wilderness,GBKQU2137826,156,2005,7,2
February,Jay-Lounge,2 Am. Study Session,TCAES2036559,198,2011,12,7
Formless,Kainbeats,Cozy Winter,GBKQU2101990,238,2005,8,3
asphodel,Tatami Construct,Hidden World,GBLV62124730,140,2016,4,6
hazelnut,S N U G,Layover,GBLV62103178,261,2013,11,24
Timeless,Loafy Building,High Flying,GBKQU2154705,191,2011,4,23
lakeside,hi jude,The Shallows,GBKQU2169275,159,2004,7,30
Busyland,Loafy Building,Shelter,GBKQU2173491,150,2007,6,1
In Place,noni,momentary,GBKQU2262852,188,2006,2,8
Allegory,Goson,Dreams of Angels,GBKQU2253341,223,2019,7,21
Pendulum,juniorodeo,Kids,GBLV62106365,178,1991,12,12
Postcard,amies,Discoveries,GBKQU2225016,146,1992,7,11
Dreaming,DaniSogen,A World of Illusion,GBLV62109825,292,2008,8,27
Shine On,cxlt.,Your Light,GBLV62122726,119,1992,8,18
Together,Laffey,A Day At A Time,GBKQU2133451,223,2004,9,21
Phantasm,Casiio,3 Am. Study Session,GBKQU2094045,265,2019,3,7
Poolside,Aylior,Zero,GBLV62021947,279,2011,6,24
Dysomnia,trxxshed,Retro Colors,GBKQU2134872,224,1998,2,25
Brothers,l'Outlander,Willpower,GBKQU2215551,218,2014,7,21
DESPECHÁ,ROSALÍA,DESPECHÁ,USSM12207207,159,2017,4,29
PROVENZA,KAROL G,PROVENZA,USUM72205906,203,2001,1,5
Neverita,Bad Bunny,Un Verano Sin Ti,QM6MZ2214882,248,2019,2,23
GATÚBELA,KAROL G,GATÚBELA,USUM72216070,278,2020,11,12
Yonaguni,Bad Bunny,Yonaguni,QM6P42169803,104,1991,1,21
DESPECHÁ,ROSALÍA,DESPECHÁ,USSM12207207,175,1990,3,7
PROVENZA,KAROL G,PROVENZA,USUM72205906,187,1993,11,4
Neverita,Bad Bunny,Un Verano Sin Ti,QM6MZ2214882,208,2008,2,2
GATÚBELA,KAROL G,GATÚBELA,USUM72216070,240,2002,10,25
Papercut,Linkin Park,Hybrid Theory (Bonus Edition),USWB10002403,214,2017,8,19
Crawling,Linkin Park,Hybrid Theory (Bonus Edition),USWB10002405,143,2006,2,3
Toxicity,System Of A Down,Toxicity,USSM10107262,111,2005,11,18
Sleepless,AVAION,Sleepless,DES232200260,217,2008,3,15
The Motto,Tiësto,The Motto,CYA112001070,112,1990,1,6
Last Time,yuma.,Last Time,DES232200210,278,1994,7,31
Afterlife,Nu Aspect,Afterlife,DES232200160,144,1990,5,13
Hot In It,Tiësto,Hot In It,CYA112001102,193,1995,9,26
I Need It,ØGM,I Need It,DES232200060,217,1997,7,2
Come Down,VLLN,Come Down,DES232200110,194,2018,12,15
Paralyzed,yuma.,Paralyzed,DES232100420,109,2016,10,10
San Lucas,Kevin Kaarl,San Lucas,QZHN91944653,176,2000,1,4
As It Was,Harry Styles,As It Was,USSM12200612,289,2015,2,9
Que Bello,Sonora Tropicana,Lo Mejor De La Sonora Tropicana - Vol. II,USMP69561594,253,2018,2,17
Escándalo,La Sonora Dinamita,Cumbiando,MXUM71501801,210,2002,6,29
Oye Mujer,Raymix,Oye Mujer,TCACJ1579035,186,2010,5,11
Mil Horas,La Sonora Dinamita,"Greatest Cumbia Classics Of Colombia, Vol. 2",COF019500361,234,2021,4,7
Mi Cantar,Los Ángeles Azules,Pachangón Sonidero,MXUM70801356,241,1993,1,27
Acaríñame,Los Ángeles Azules,Acaríñame,MX1721901113,122,2021,12,9
Felicidad,Los Socios Del Ritmo,Felicidad,QMFME1327337,264,2011,7,10
Mentirosa,Rafaga,Imparables,ARF060500251,252,1994,3,17
Compañera,La Nueva Luna,Los Más Queridos,ARG601012423,277,2020,3,28
Cachondea,Fruko Y Sus Tesos,14 Cañonazos Bailables 2001,COF012009080,157,2016,12,23
Qué Bello,La Sonora Dinamita,Juntos Por La Sonora,MXUM71501807,298,2011,12,29
BYE-LANDO,Los Master Plus,BYE-LANDO,QMBZ92012465,133,2014,1,16
Guarapera,Cumbia Benavides,Ta Bena,MX3191801594,171,1997,2,23
Dreamtime,Sleepermane,Dreamtime,GBKQU2271652,238,2018,12,1
Sky Above,Sleepermane,Dreamtime,GBKQU2271657,155,2011,10,23
Willpower,l'Outlander,Willpower,GBKQU2215548,146,2008,1,3
Mind Pool,Dontcry,Time In Motion,GBKQU2106997,109,2011,3,20
Space 420,Chau Sara,Lightsaber Bar,GBKQU2213245,236,2009,9,21
Circadian,S N U G,Quietude,GBKQU2183088,105,1993,7,8
Dawnlight,softy,The Day I Passed,GBKQU2260598,267,2017,3,5
Nocturnal,noni,momentary,GBKQU2262854,291,2015,6,26
Companion,Krynoze,Pawmises,GBKQU2271781,188,2013,9,4
Found You,Hoogway,Equation Of Time,GBKQU2278071,194,1995,12,3
Innocence,No Spirit,Happy Moments,GBLV62118101,139,2020,8,21
Red Alley,Pointy Features,Shine On,GBKQU2139063,281,2012,9,5
On My Own,Nokiaa,Perspectives,GBKQU2166802,232,1996,12,23
Awakening,DaniSogen,In Search of Peace,GBKQU2246773,144,2002,5,16
Raindance,Sleepermane,Sleepless Night,GBKQU2242336,232,2020,7,14
Overgrown,Raimu,Sons of the Dew,GBKQU2141255,205,1992,3,17
Cozy Home,Plant Guy,In Harmony With Nature,GBKQU2219763,185,1995,4,29
Fireflies,TyLuv.,River Glow,GBKQU2105917,148,1992,9,20
sanctuary,steezy prime,beyond the pines,GBKQU2163304,150,2011,11,22
Follow Me,amies,Oblivion,GBKQU2139466,102,2001,4,28
two moons,Bert,offline,GBKQU2168452,172,1998,11,14
Blue Eyes,Jhove,Been Thinking,GBLV62033016,157,2008,1,10
Shipwreck,Kinissue,Sea Beams,GBKQU2172114,247,2001,5,27
Nighttide,amies,Nocturne,GBKQU2171103,209,2001,8,4
Nightfall,S N U G,Nightfall,GBKQU2111741,263,2022,7,16
After You,Hoogway,Cozy Winter,GBKQU2101966,239,2016,6,5
Fireflies,Kanisan,3 Am. Study Session,GBKQU2094057,214,2006,9,19
turn ways,kudo,love you two,GBKQU2148367,285,1995,9,10
Waterfall,BVG,Soothing Breeze,GBKQU2189470,235,2018,6,15
Back Then,Bcalm,Feelings Pt.2,GBLV62129260,109,1991,12,26
Passenger,DLJ,After Life,GBKQU2248984,119,2000,7,18
New Paths,Ayzic,Sleepless Night,GBKQU2242334,249,1991,1,12
follow me,Towerz,At Long Last,GBKQU2194970,292,2022,6,19
slow melt,tender spring,"Springtime, with friends",GBKQU2182848,160,2019,9,15
Fireflies,amies,Nocturne,GBKQU2171107,122,2016,7,15
Too Tired,Purrple Cat,Distant Worlds,GBLV62037943,230,1993,6,19
Riverside,Slo Loris,Riverside,GBLV62019390,103,1990,7,31
Slow Ride,softy,Distant Images,GBKQU2134042,209,2001,6,2
Waterfall,Epona,Ballerina,GBKQU2197682,275,1992,10,13
Departure,Peak Twilight,Departure,GBKQU2147433,284,1996,9,28
Abandoned,DLJ,Night Emotions,TCAER2051126,291,2013,7,14
riverwalk,Spencer Hunt,Windy City,GBLV62114737,204,2020,2,22
The Ridge,Allem Iversom,The Ridge,GBLV62006738,116,2020,4,17
Nostalgia,Mujo,Nostalgia,GBLV62041095,204,2020,4,25
Backwards,Mujo,Better Days,GBKQU2191183,181,2013,12,10
Frontseat,Casiio,Passing By,GBKQU2204529,269,2019,2,26
Teardrops,Laffey,Belonging,GBKQU2197302,276,2013,5,13
Yesterday,Kayba,Explore,GBLV62119349,227,2009,4,8
Blue Hour,Jisatsu,Morning Coffee,GBKQU2237587,166,2006,1,13
As It Was,Harry Styles,Harry's House,USSM12200612,276,1998,11,16
Un Ratito,Bad Bunny,Un Verano Sin Ti,QM6MZ2214879,108,2012,7,17
San Lucas,Kevin Kaarl,San Lucas,QZHN91944653,140,2020,8,20
As It Was,Harry Styles,Harry's House,USSM12200612,189,2016,2,15
Bad Habit,Steve Lacy,Gemini Rights,USRC12201440,161,2001,3,8
Otherside,Red Hot Chili Peppers,Californication (Deluxe Edition),USWB19900693,137,2013,9,16
Underwater,Harrison,Underwater,DES232200370,156,2019,12,2
Lighthouse,HRRTZ,Lighthouse,DES232200230,163,2006,3,19
The Parade,Joel Corry,The Parade,DES232200070,292,2017,5,25
Holding On,WILL K,Holding On,DES232200040,227,2018,7,27
Ice & Cold,Tom Enzy,Ice & Cold,DES232100220,212,2000,10,2
Mean to Me,yuma.,Mean to Me,DES232100170,252,2013,6,11
Side Of Me,Matt Wolff,Side Of Me,DK4YA2275901,200,1996,6,5
La Bachata,Manuel Turizo,La Bachata,QZDYA1800087,216,1997,11,22
siente más,Kevin Kaarl,Paris Texas,QZNWR2244068,172,2009,1,18
ULTRA SOLO,Polimá Westcoast,ULTRA SOLO,CLPP22200004,228,2017,8,13
El Rescate,Grupo Marca Registrada,El Rescate,USDXS2202347,178,2011,7,19
Pink Venom,BLACKPINK,Pink Venom,KRA402200017,222,2003,5,19
Los Cachos,Piso 21,Los Cachos,MXF152200437,272,2020,5,6
Hechicería,La Sonora Dinamita,Juntos Por La Sonora,MXUM71501793,105,2022,12,6
La Tortuga,Yerba Brava,Nunca Se Acaba,ARF060603284,140,1994,3,26
Prisionera,Villa Cariño,15Añero,CLCZ21601927,273,1995,2,21
La Ladrona,Grupo Cañaveral De Humberto Pabón,Disco Cumbia México (2),MXUM61300030,234,1990,5,25
El Embrujo,Aaron Y Su Grupo Ilusion,Embrujados De Amor Y Cumbia,MXUM70903479,166,2015,9,4
